team,title_odds,top4_odds,releg_odds,captured,source
Manchester City,4.0,1.2222222222222223,,2026-09-10,oddschecker
Arsenal,1.8,1.0303030303030305,2001.0,2026-09-10,oddschecker
Hull City,2001.0,501.0,1.5714285714285714,2026-09-10,oddschecker
Chelsea,9.5,1.5333333333333334,501.0,2026-09-10,oddschecker
Brentford,401.0,7.5,46.0,2026-09-10,oddschecker
Newcastle United,251.0,12.0,26.0,2026-09-10,oddschecker
Liverpool,19.0,1.8333333333333333,501.0,2026-09-10,oddschecker
Everton,551.0,26.0,13.0,2026-09-10,oddschecker
Leeds United,501.0,21.0,15.0,2026-09-10,oddschecker
Brighton,501.0,8.0,41.0,2026-09-10,oddschecker
Manchester United,34.0,2.75,251.0,2026-09-10,oddschecker
Sunderland,1501.0,126.0,5.0,2026-09-10,oddschecker
Crystal Palace,1501.0,101.0,5.0,2026-09-10,oddschecker
Ipswich Town,2001.0,501.0,2.0,2026-09-10,oddschecker
Bournemouth,551.0,21.0,17.0,2026-09-10,oddschecker
Nottingham Forest,551.0,29.0,9.5,2026-09-10,oddschecker
Tottenham Hotspur,151.0,10.0,21.0,2026-09-10,oddschecker
Aston Villa,251.0,13.0,21.0,2026-09-10,oddschecker
Fulham,1501.0,151.0,3.3,2026-09-10,oddschecker
Coventry City,2501.0,501.0,1.5333333333333334,2026-09-10,oddschecker
