team,elo
Arsenal,1818.2
Manchester City,1792.9
Manchester United,1712.2
Liverpool,1687.4
Bournemouth,1672.1
Aston Villa,1666.5
Brighton,1632.0
Brentford,1624.8
Nottingham Forest,1617.5
Chelsea,1616.5
Newcastle United,1612.4
Leeds United,1606.9
Fulham,1602.7
Everton,1586.5
Tranmere Rovers,1581.5
Stockport County,1581.4
Grimsby Town,1581.3
Walsall,1581.3
Bradford City,1581.1
Gillingham,1581.1
Wimbledon,1581.1
Crewe Alexandra,1580.8
Southend United,1580.3
Colchester United,1579.9
Crystal Palace,1577.1
Scunthorpe United,1576.9
Doncaster Rovers,1570.8
Yeovil Town,1570.3
MK Dons,1561.1
Sunderland,1554.0
West Ham United,1551.1
Coventry City,1550.7
Burton Albion,1547.9
Tottenham Hotspur,1534.4
Bolton Wanderers,1523.5
Ipswich Town,1513.2
Wycombe Wanderers,1511.1
Southampton,1508.5
Peterborough United,1488.6
Millwall,1486.3
Barnsley,1466.5
Wigan Athletic,1460.6
Middlesbrough,1458.8
Reading,1453.1
Wolverhampton Wanderers,1450.5
Blackpool,1446.5
Burnley,1444.3
Norwich City,1430.5
Derby County,1413.3
Wrexham,1407.9
Huddersfield Town,1407.8
Swansea City,1402.0
Sheffield United,1400.6
Hull City,1397.2
Luton Town,1395.3
Birmingham City,1389.7
Portsmouth,1378.3
Plymouth Argyle,1370.0
Bristol City,1366.9
Rotherham United,1364.9
West Bromwich Albion,1360.7
Cardiff City,1351.7
Blackburn Rovers,1351.6
Charlton Athletic,1349.1
QPR,1334.5
Leicester City,1333.9
Preston North End,1333.0
Oxford United,1319.0
Watford,1307.9
Stoke City,1300.0
Sheffield Wednesday,1170.3
