football_data,transfermarkt,fbref,understat,clubelo
Arsenal,AFC Bournemouth,Arsenal,Arsenal,Arsenal
Aston Villa,Arsenal FC,Aston Villa,Aston Villa,Aston Villa
Barnsley,Aston Villa,Bournemouth,Bournemouth,Birmingham
Birmingham,Brentford FC,Brentford,Brentford,Blackburn
Blackburn,Brighton & Hove Albion,Brighton,Brighton,Bolton
Blackpool,Burnley FC,Chelsea,Chelsea,Bournemouth
Bolton,Cardiff City,Crystal Palace,Crystal Palace,Brentford
Bournemouth,Chelsea FC,Everton,Everton,Brighton
Bradford,Crystal Palace,Fulham,Fulham,Bristol City
Brentford,Everton FC,Ipswich Town,Ipswich,Burnley
Brighton,Fulham FC,Leicester City,Leicester,Cardiff
Bristol City,Huddersfield Town,Liverpool,Liverpool,Charlton
Burnley,Hull City,Manchester City,Manchester City,Chelsea
Burton,Ipswich Town,Manchester Utd,Manchester United,Coventry
Cardiff,Leeds United,Newcastle,Newcastle United,Crystal Palace
Charlton,Leicester City,Nottingham,Nottingham Forest,Derby
Chelsea,Liverpool FC,Southampton,Southampton,Everton
Colchester,Luton Town,Tottenham,Tottenham,Forest
Coventry,Manchester City,West Ham,West Ham,Fulham
Crewe,Manchester United,Wolves,Wolverhampton Wanderers,Hull
Crystal Palace,Middlesbrough FC,,,Ipswich
Derby,Newcastle United,,,Leeds
Doncaster,Norwich City,,,Liverpool
Everton,Nottingham Forest,,,Man City
Fulham,Queens Park Rangers,,,Man United
Gillingham,Reading FC,,,Middlesbrough
Grimsby,Sheffield United,,,Millwall
Huddersfield,Southampton FC,,,Newcastle
Hull,Stoke City,,,Norwich
Ipswich,Sunderland AFC,,,Portsmouth
Leeds,Swansea City,,,Preston
Leicester,Tottenham Hotspur,,,QPR
Liverpool,Watford FC,,,Sheffield United
Luton,West Bromwich Albion,,,Southampton
Man City,West Ham United,,,Stoke
Man United,Wigan Athletic,,,Sunderland
Middlesbrough,Wolverhampton Wanderers,,,Swansea
Millwall,,,,Tottenham
Milton Keynes Dons,,,,Watford
Newcastle,,,,West Brom
Norwich,,,,West Ham
Nott'm Forest,,,,Wolves
Oxford,,,,Wrexham
Peterboro,,,,
Plymouth,,,,
Portsmouth,,,,
Preston,,,,
QPR,,,,
Reading,,,,
Rotherham,,,,
Scunthorpe,,,,
Sheffield United,,,,
Sheffield Weds,,,,
Southampton,,,,
Southend,,,,
Stockport,,,,
Stoke,,,,
Sunderland,,,,
Swansea,,,,
Tottenham,,,,
Tranmere,,,,
Walsall,,,,
Watford,,,,
West Brom,,,,
West Ham,,,,
Wigan,,,,
Wimbledon,,,,
Wolves,,,,
Wrexham,,,,
Wycombe,,,,
Yeovil,,,,
