team_id,canonical_name,football_data,transfermarkt,fbref,understat,clubelo,fpl
1,Arsenal,Arsenal,Arsenal FC,Arsenal,Arsenal,Arsenal,Arsenal
2,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa
3,Barnsley,Barnsley,,,,,
4,Birmingham City,Birmingham,,,,Birmingham,
5,Blackburn Rovers,Blackburn,,,,Blackburn,
6,Blackpool,Blackpool,,,,,
7,Bolton Wanderers,Bolton,,,,Bolton,
8,Bournemouth,Bournemouth,AFC Bournemouth,Bournemouth,Bournemouth,Bournemouth,Bournemouth
9,Bradford City,Bradford,,,,,
10,Brentford,Brentford,Brentford FC,Brentford,Brentford,Brentford,Brentford
11,Brighton,Brighton,Brighton & Hove Albion,Brighton,Brighton,Brighton,Brighton
12,Bristol City,Bristol City,,,,Bristol City,
13,Burnley,Burnley,Burnley FC,,,Burnley,Burnley
14,Burton Albion,Burton,,,,,
15,Cardiff City,Cardiff,Cardiff City,,,Cardiff,
16,Charlton Athletic,Charlton,,,,Charlton,
17,Chelsea,Chelsea,Chelsea FC,Chelsea,Chelsea,Chelsea,Chelsea
18,Colchester United,Colchester,,,,,
19,Coventry City,Coventry,,,,Coventry,
20,Crewe Alexandra,Crewe,,,,,
21,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
22,Derby County,Derby,,,,Derby,
23,Doncaster Rovers,Doncaster,,,,,
24,Everton,Everton,Everton FC,Everton,Everton,Everton,Everton
25,Fulham,Fulham,Fulham FC,Fulham,Fulham,Fulham,Fulham
26,Gillingham,Gillingham,,,,,
27,Grimsby Town,Grimsby,,,,,
28,Huddersfield Town,Huddersfield,Huddersfield Town,,,,
29,Hull City,Hull,Hull City,,,Hull,
30,Ipswich Town,Ipswich,Ipswich Town,Ipswich Town,Ipswich,Ipswich,
31,Leeds United,Leeds,Leeds United,,,Leeds,Leeds
32,Leicester City,Leicester,Leicester City,Leicester City,Leicester,,
33,Liverpool,Liverpool,Liverpool FC,Liverpool,Liverpool,Liverpool,Liverpool
34,Luton Town,Luton,Luton Town,,,,
35,Manchester City,Man City,Manchester City,Manchester City,Manchester City,Man City,Man City
36,Manchester United,Man United,Manchester United,Manchester Utd,Manchester United,Man United,Man Utd
37,Middlesbrough,Middlesbrough,Middlesbrough FC,,,Middlesbrough,
38,Millwall,Millwall,,,,Millwall,
39,MK Dons,Milton Keynes Dons,,,,,
40,Newcastle United,Newcastle,Newcastle United,Newcastle,Newcastle United,Newcastle,Newcastle
41,Norwich City,Norwich,Norwich City,,,Norwich,
42,Nottingham Forest,Nott'm Forest,Nottingham Forest,Nottingham,Nottingham Forest,Forest,Nott'm Forest
43,Oxford United,Oxford,,,,,
44,Peterborough United,Peterboro,,,,,
45,Plymouth Argyle,Plymouth,,,,,
46,Portsmouth,Portsmouth,,,,Portsmouth,
47,Preston North End,Preston,,,,Preston,
48,QPR,QPR,Queens Park Rangers,,,QPR,
49,Reading,Reading,Reading FC,,,,
50,Rotherham United,Rotherham,,,,,
51,Scunthorpe United,Scunthorpe,,,,,
52,Sheffield United,Sheffield United,Sheffield United,,,Sheffield United,
53,Sheffield Wednesday,Sheffield Weds,,,,,
54,Southampton,Southampton,Southampton FC,Southampton,Southampton,Southampton,
55,Southend United,Southend,,,,,
56,Stockport County,Stockport,,,,,
57,Stoke City,Stoke,Stoke City,,,Stoke,
58,Sunderland,Sunderland,Sunderland AFC,,,Sunderland,Sunderland
59,Swansea City,Swansea,Swansea City,,,Swansea,
60,Tottenham Hotspur,Tottenham,Tottenham Hotspur,Tottenham,Tottenham,Tottenham,Spurs
61,Tranmere Rovers,Tranmere,,,,,
62,Walsall,Walsall,,,,,
63,Watford,Watford,Watford FC,,,Watford,
64,West Bromwich Albion,West Brom,West Bromwich Albion,,,West Brom,
65,West Ham United,West Ham,West Ham United,West Ham,West Ham,West Ham,West Ham
66,Wigan Athletic,Wigan,Wigan Athletic,,,,
67,Wimbledon,Wimbledon,,,,,
68,Wolverhampton Wanderers,Wolves,Wolverhampton Wanderers,Wolves,Wolverhampton Wanderers,Wolves,Wolves
69,Wrexham,Wrexham,,,,Wrexham,
70,Wycombe Wanderers,Wycombe,,,,,
71,Yeovil Town,Yeovil,,,,,
