team,exp_pts,pts_10,pts_90,exp_pos,title,top4,top6,releg
Arsenal,80.703,68.0,93.0,2.2481,0.42835,0.90615,0.9639,0.0
Manchester City,79.9574,68.0,92.0,2.31845,0.3904,0.90585,0.9656,0.0
Liverpool,68.5929,55.0,82.0,5.04155,0.094,0.54245,0.7261,0.0006
Chelsea,59.62475,46.0,73.0,8.12875,0.01705,0.2233,0.40295,0.0074
Aston Villa,59.49115,46.0,73.0,8.13425,0.0171,0.2166,0.404,0.00945
Newcastle United,59.55985,46.0,73.0,8.1656,0.0123,0.228,0.40555,0.0085
Manchester United,59.5622,46.0,73.0,8.1818,0.0134,0.22805,0.4064,0.01125
Brighton,56.48565,43.0,70.0,9.34705,0.00655,0.14185,0.2931,0.0221
Brentford,56.0129,43.0,69.0,9.5639,0.00515,0.14005,0.27745,0.0173
Bournemouth,55.24895,42.0,68.0,9.8667,0.00555,0.1139,0.25225,0.02645
Nottingham Forest,53.53155,41.0,67.0,10.58295,0.0022,0.0848,0.20145,0.0305
Fulham,52.2677,39.0,66.0,11.09215,0.0031,0.0743,0.17295,0.0454
Tottenham Hotspur,51.54925,39.0,65.0,11.39375,0.00155,0.0591,0.15325,0.0505
Everton,50.6718,38.0,64.0,11.7194,0.0009,0.04285,0.1239,0.0612
Crystal Palace,50.1581,37.0,63.0,11.94365,0.0012,0.0434,0.1181,0.06595
Leeds United,49.0339,36.90000000000009,62.0,12.4072,0.00115,0.0384,0.0991,0.06805
Sunderland,38.80245,27.0,51.0,15.93205,0.0,0.0016,0.00725,0.31075
Coventry City,28.92915,10.0,48.0,17.2721,0.0,0.0058,0.0158,0.66325
Ipswich Town,26.74385,6.0,47.0,17.5845,5e-05,0.00355,0.01075,0.69025
Hull City,18.2991,4.0,34.0,19.0761,0.0,0.0,0.00015,0.9111
